date,doses,doses_first,doses_second,pfizer_cumul,moderna_cumul,astrazeneca_cumul,persons_first_cumul,persons_full_cumul
2020-12-27,24429,24429,0,24420,8,1,24429,0
2020-12-28,18007,18007,0,42425,9,2,42436,0
2020-12-29,50065,50065,0,92489,9,3,92501,0
2020-12-30,64088,64088,0,156576,10,3,156589,0
2020-12-31,49939,49939,0,206513,12,3,206528,0
2021-01-01,25672,25672,0,232164,27,7,232200,0
2021-01-02,47804,47804,0,279965,28,7,280004,0
2021-01-03,22573,22573,0,302531,35,7,302577,0
2021-01-04,46362,46362,0,348863,46,8,348939,0
2021-01-05,52484,52484,0,401343,50,8,401423,0
2021-01-06,63097,63097,0,464431,57,10,464520,0
2021-01-07,54908,54908,0,519327,65,13,519428,0
2021-01-08,62875,62875,0,582146,118,16,582303,0
2021-01-09,60598,60598,0,642736,126,16,642901,0
2021-01-10,35845,35845,0,678569,136,17,678746,0
2021-01-11,68776,68776,0,747332,146,20,747522,0
2021-01-12,79322,79322,0,826629,167,23,826844,0
2021-01-13,112451,112451,0,937897,1350,23,939295,0
2021-01-14,84132,84132,0,1016905,6472,25,1023427,0
2021-01-15,91864,90881,983,1103462,11758,44,1114308,983
2021-01-16,58099,56855,1244,1159865,13452,45,1171163,2227
2021-01-17,47842,30757,17085,1206440,14717,46,1201920,19312
2021-01-18,83329,67569,15760,1285503,18980,49,1269489,35072
2021-01-19,119890,83806,36084,1401573,22749,100,1353295,71156
2021-01-20,132972,79002,53970,1531697,25593,104,1432297,125126
2021-01-21,105651,64534,41117,1634517,28419,108,1496831,166243
2021-01-22,102416,68788,33628,1734722,30616,122,1565619,199871
2021-01-23,87092,40772,46320,1821448,30977,127,1606391,246191
2021-01-24,47836,25706,22130,1869075,31181,131,1632097,268321
2021-01-25,91078,52347,38731,1958695,32636,134,1684444,307052
2021-01-26,98705,51357,47348,2055950,34079,141,1735801,354400
2021-01-27,109656,51184,58472,2163802,35873,149,1786985,412872
2021-01-28,92764,47015,45749,2254927,37508,153,1834000,458621
2021-01-29,107829,49886,57943,2361197,38995,224,1883886,516564
2021-01-30,88164,34670,53494,2448471,39879,228,1918556,570058
2021-01-31,57243,25808,31435,2505323,40264,233,1944364,601493
2021-02-01,120501,58397,62104,2623543,42488,289,2002761,663597
2021-02-02,132894,65533,67361,2753270,45628,314,2068294,730958
2021-02-03,163129,64632,98497,2909969,52030,341,2132926,829455
2021-02-04,134693,62158,72535,3038752,57932,349,2195084,901990
2021-02-05,147586,69419,78167,3179851,64409,358,2264503,980157
2021-02-06,94199,45606,48593,3271409,67048,359,2310109,1028750
